FY,Simple - Median Number of Days*,Complex - Median Number of Days†,,
1987,27.24,66.21,,
1988,26.6,65.72,,
1989,25.96,65.24,,
1990,25.32,64.76,,
1991,24.69,64.28,,
1992,24.05,63.79,,
1993,23.41,63.31,,
1994,22.77,62.83,,
1995,22.13,62.34,,
1996,21.5,61.86,,
1997,20.86,61.38,,
1998,16,39,,
1999,20,66,,
2000,25,69,,
2001,23,84,,
2002,19.5,57.5,,
2003,20.5,64,,
2004,17,59,,
2005,15.5,85,,
2006,17,51.5,,
2007,11.5,45.5,,
2008,13,30.5,,
2009,9.5,42.5,,
2010,9,61.5,,
2011,11,42.5,,
2012,7,55,,
2013,8.5,47.5,,
2014,8,48,,
2015,7,55,,
2016,6.5,57,,
2017,7,33.5,,
2018,6,49,,
2019,6,64,,
2020,8,59,,
2021,10,59,,
2022,7,70.5,,
2023,7.5,48.5,,
2024,6,31,,
,,,*Data was not available for 1987-1997. Linear regression calculation was used with r2 = .75 Strong correlation means I can use this data.,"† Data was not available for 1987-1997. Linear regression calculation was used with r2 = .08. Weak correlation, likely means data will not be used."
